      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
    1.67          0.0         0.9521352879        0        0.9521352879      0
    1.68          0.0         0.9506630047        0        0.9506630047      0
    1.69          0.0         0.949098072         0        0.949098072       0
    1.7           0.0         0.9474315433        0        0.9474315433      0
    1.71          0.0         0.9456532943        0        0.9456532943      0
    1.72          0.0         0.9437518241        0        0.9437518241      0
    1.73          0.0         0.9417140166        0        0.9417140166      0
    1.74          0.0         0.9395248497        0        0.9395248497      0
    1.75          0.0         0.9371670418        0        0.9371670418      0
    1.76          0.0         0.934620617         0        0.934620617       0
    1.77          0.0         0.9318623682        0        0.9318623682      0
    1.78          0.0         0.9288651885        0        0.9288651885      0
    1.79          0.0         0.9255972347        0        0.9255972347      0
    1.8           0.0         0.9220208696        0        0.9220208696      0
    1.81          0.0         0.9180913176        0        0.9180913176      0
    1.82          0.0         0.9137549389        0        0.9137549389      0
    1.83          0.0         0.9089469981        0        0.9089469981      0
    1.84          0.0         0.903588752         0        0.903588752       0
    1.85          0.0         0.8975836177        0        0.8975836177      0
    1.86          0.0         0.8908120886        0        0.8908120886      0
    1.87          0.0         0.8831249387        0        0.8831249387      0
    1.88          0.0         0.8743340836        0        0.8743340836      0
    1.89          0.0         0.8642002512        0        0.8642002512      0
    1.9           0.0         0.8524163823        0        0.8524163823      0
    1.91          0.0         0.8385855328        0        0.8385855328      0
    1.92          0.0         0.8221923155        0        0.8221923155      0
    1.93          0.0         0.8025684567        0        0.8025684567      0
    1.94          0.0         0.7788579384        0        0.7788579384      0
    1.95          0.0         0.7500000000        0        0.7500000000      0
    1.96          0.0         0.7147767125        0        0.7147767125      0
    1.97          0.0         0.6720208696        0        0.6720208696      0
    1.98          0.0         0.6211189416        0        0.6211189416      0
    1.99          0.0         0.5628329582        0        0.5628329582      0
    2             0.0         0.5000000000        0        0.5000000000      0
    2.01          0.0         0.4371670418        0        0.4371670418      0
    2.02          0.0         0.3788810584        0        0.3788810584      0
    2.03          0.0         0.3279791304        0        0.3279791304      0
    2.04          0.0         0.2852232875        0        0.2852232875      0
    2.05          0.0         0.2500000000        0        0.2500000000      0
    2.06          0.0         0.2211420616        0        0.2211420616      0
    2.07          0.0         0.1974315433        0        0.1974315433      0
    2.08          0.0         0.1778076845        0        0.1778076845      0
    2.09          0.0         0.1614144672        0        0.1614144672      0
    2.1           0.0         0.1475836177        0        0.1475836177      0
    2.11          0.0         0.1357997488        0        0.1357997488      0
    2.12          0.0         0.1256659164        0        0.1256659164      0
    2.13          0.0         0.1168750613        0        0.1168750613      0
    2.14          0.0         0.1091879114        0        0.1091879114      0
    2.15          0.0         0.1024163823        0        0.1024163823      0
    2.16          0.0         0.096411248         0        0.096411248       0
